Rank,id,value,mesure,Year,Estación,nombre
45,43,0.008,out_deg_cent,2021,Juárez - Dr. Mora,43. Juárez - Dr. Mora (0.008)
46,300,0.008,out_deg_cent,2021,Providencia - Luz Saviñón,300. Providencia - Luz Saviñón (0.008)
47,44,0.008,out_deg_cent,2021,Durango - Veracruz,44. Durango - Veracruz (0.008)
48,426,0.008,out_deg_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.008)
49,407,0.008,out_deg_cent,2021,Prolongación Xochicalco - General Emiliano Zapata,407. Prolongación Xochicalco - General Emiliano Zapata (0.008)
50,405,0.008,out_deg_cent,2021,División del Norte - Municipio Libre,405. División del Norte - Municipio Libre (0.008)
51,404,0.008,out_deg_cent,2021,Miguel Laurent - Avenida División del Norte,404. Miguel Laurent - Avenida División del Norte (0.008)
52,396,0.008,out_deg_cent,2021,Martín Mendalde - Félix Cuevas,396. Martín Mendalde - Félix Cuevas (0.008)
53,398,0.008,out_deg_cent,2021,Juan Sánchez Azcona - Félix Cuevas,398. Juan Sánchez Azcona - Félix Cuevas (0.008)
54,39,0.008,out_deg_cent,2021,Puebla - Medellín,39. Puebla - Medellín (0.008)
55,366,0.008,out_deg_cent,2021,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.008)
56,360,0.008,out_deg_cent,2021,Heriberto Frías - Matías Romero,360. Heriberto Frías - Matías Romero (0.008)
57,297,0.008,out_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,297. Diagonal San Antonio - Enrique Rébsamen (0.008)
58,45,0.008,out_deg_cent,2021,Durango - Sonora,45. Durango - Sonora (0.008)
59,455,0.008,out_deg_cent,2021,Pedregal - Ferrocarril de Cuernavaca,455. Pedregal - Ferrocarril de Cuernavaca (0.008)
60,449,0.008,out_deg_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.008)
61,222,0.008,out_deg_cent,2021,Alejandro Dumas - Presidente Masaryk,222. Alejandro Dumas - Presidente Masaryk (0.008)
62,321,0.008,out_deg_cent,2021,Torres Adalid - Anaxágoras,321. Torres Adalid - Anaxágoras (0.008)
63,30,0.008,out_deg_cent,2021,Hamburgo - Génova,30. Hamburgo - Génova (0.008)
64,3,0.008,out_deg_cent,2021,Reforma - Insurgentes,3. Reforma - Insurgentes (0.008)
65,47,0.008,out_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.008)
66,23,0.008,out_deg_cent,2021,Reforma - Praga,23. Reforma - Praga (0.008)
67,204,0.008,out_deg_cent,2021,Temístocles - Homero,204. Temístocles - Homero (0.008)
68,217,0.008,out_deg_cent,2021,Euler - Av. Horacio,217. Euler - Av. Horacio (0.008)
69,150,0.008,out_deg_cent,2021,Campeche - Medellín,150. Campeche - Medellín (0.008)
70,146,0.008,out_deg_cent,2021,Coahuila - Manzanillo,146. Coahuila - Manzanillo (0.008)
71,145,0.008,out_deg_cent,2021,Yucatán - Chiapas,145. Yucatán - Chiapas (0.008)
72,144,0.008,out_deg_cent,2021,Frontera - San Luis Potosí,144. Frontera - San Luis Potosí (0.008)
73,211,0.008,out_deg_cent,2021,Isaac Newton - Horacio,211. Isaac Newton - Horacio (0.008)
74,141,0.008,out_deg_cent,2021,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.008)
75,137,0.008,out_deg_cent,2021,Álvaro Obregón - Mérida,137. Álvaro Obregón - Mérida (0.008)
76,134,0.008,out_deg_cent,2021,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.008)
77,133,0.008,out_deg_cent,2021,Colima - Morelia,133. Colima - Morelia (0.008)
78,129,0.008,out_deg_cent,2021,Tonalá - Durango,129. Tonalá - Durango (0.008)
79,125,0.008,out_deg_cent,2021,Morelia - Circular de Morelia,125. Morelia - Circular de Morelia (0.008)
80,123,0.008,out_deg_cent,2021,Claudio Bernard - Dr. Lavista,123. Claudio Bernard - Dr. Lavista (0.008)
81,119,0.008,out_deg_cent,2021,Turín - Abraham González,119. Turín - Abraham González (0.008)
82,116,0.008,out_deg_cent,2021,Londres - Roma,116. Londres - Roma (0.008)
83,115,0.008,out_deg_cent,2021,Roma - Dinamarca,115. Roma - Dinamarca (0.008)
84,112,0.008,out_deg_cent,2021,Av. Morelos - Abraham González,112. Av. Morelos - Abraham González (0.008)
85,113,0.008,out_deg_cent,2021,General Prim - Versalles,113. General Prim - Versalles (0.008)
86,107,0.008,out_deg_cent,2021,Tolsá - Balderas,107. Tolsá - Balderas (0.008)
87,106,0.008,out_deg_cent,2021,San Jerónimo - José María Pino Suarez,106. San Jerónimo - José María Pino Suarez (0.008)
88,103,0.008,out_deg_cent,2021,Joaquín Velázquez de León - García Icazbalceta,103. Joaquín Velázquez de León - García Icazbalceta (0.008)
89,10,0.008,out_deg_cent,2021,Reforma - Ramírez,10. Reforma - Ramírez (0.008)
90,14,0.008,out_deg_cent,2021,Reforma - Río de la Plata,14. Reforma - Río de la Plata (0.008)
91,149,0.008,out_deg_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.008)
92,142,0.008,out_deg_cent,2021,San Luis Potosí - Eje 2 Pte. Monterrey,142. San Luis Potosí - Eje 2 Pte. Monterrey (0.008)
93,16,0.008,out_deg_cent,2021,Reforma - Río Tíber,16. Reforma - Río Tíber (0.008)
94,172,0.008,out_deg_cent,2021,General Francisco Murguía - José Martí,172. General Francisco Murguía - José Martí (0.008)
95,208,0.008,out_deg_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.008)
96,20,0.008,out_deg_cent,2021,Reforma - Río Támesis,20. Reforma - Río Támesis (0.008)
97,195,0.008,out_deg_cent,2021,Reforma - Mahatma Gandhi,195. Reforma - Mahatma Gandhi (0.008)
98,194,0.008,out_deg_cent,2021,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.008)
99,190,0.008,out_deg_cent,2021,Gobernador Ignacio Esteva - Maestro José Vasconcelos,190. Gobernador Ignacio Esteva - Maestro José Vasconcelos (0.008)
100,184,0.008,out_deg_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.008)
101,182,0.008,out_deg_cent,2021,Progreso - Astrónomos,182. Progreso - Astrónomos (0.008)
102,181,0.008,out_deg_cent,2021,Benjamín Franklin - Ometusco,181. Benjamín Franklin - Ometusco (0.008)
103,175,0.008,out_deg_cent,2021,Mutualismo - José Martí,175. Mutualismo - José Martí (0.008)
104,180,0.008,out_deg_cent,2021,Quintana Roo - Villahermosa,180. Quintana Roo - Villahermosa (0.008)
105,169,0.008,out_deg_cent,2021,Prosperidad - Progreso,169. Prosperidad - Progreso (0.008)
106,286,0.008,out_deg_cent,2021,13 de Septiembre - Avenida Patriotismo,286. 13 de Septiembre - Avenida Patriotismo (0.008)
107,165,0.008,out_deg_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.008)
108,167,0.008,out_deg_cent,2021,General Salvador Alvarado - Progreso,167. General Salvador Alvarado - Progreso (0.008)
109,48,0.008,out_deg_cent,2021,Independencia - Azueta,48. Independencia - Azueta (0.008)
110,82,0,out_deg_cent,2021,Independencia - Marroquí,82. Independencia - Marroquí (0.0)
111,303,0,out_deg_cent,2021,Montecito - Av. Insurgentes,303. Montecito - Av. Insurgentes (0.0)
112,392,0,out_deg_cent,2021,Patricio Sanz - Félix Cuevas,392. Patricio Sanz - Félix Cuevas (0.0)
113,58,0,out_deg_cent,2021,Parque España - Juan de la Barrera,58. Parque España - Juan de la Barrera (0.0)
114,53,0,out_deg_cent,2021,Fernando Montes de Oca - Tula,53. Fernando Montes de Oca - Tula (0.0)
115,266,0,out_deg_cent,2021,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.0)
